School,WLper,SOS,Pace,ORtg,FTr,3PAr,Tsper,TRBper,ASTper,STLper,BLKper,eFGper,TOVper,ORBper,FTperFGA,oPace,oORtg,oFTr,o3PAr,oTsper,oTRBper,oASTper,oSTLper,oBLKper,oeFGper,oTOVper,oORBper,oFTperFGA,Year
Valparaiso,0.429,-3.51,70.1,97.6,0.255,0.332,0.519,49.5,48.6,8.3,5.2,0.492,16.7,25,0.18,70.1,103.3,0.328,0.339,0.534,50.5,48.5,10.9,7,0.49,14.1,25.9,0.254,2022-2023
Vanderbilt,0.5,3.59,66.8,100.6,0.284,0.42,0.52,51.6,49.3,7.7,14.7,0.495,16.7,30.3,0.191,66.8,99,0.32,0.361,0.51,48.4,51.6,10.2,8.5,0.478,14.7,26.3,0.22,2022-2023
Vermont,0.429,1.57,66.4,100.2,0.257,0.415,0.539,49.1,48.9,7.9,6.1,0.518,16.1,21.2,0.174,66.4,102.6,0.321,0.343,0.549,50.9,47.2,9.2,10.2,0.523,14.9,21.3,0.218,2022-2023
Villanova,0.538,4.8,64.7,109,0.333,0.491,0.571,48.6,49.5,8,4.7,0.521,13.7,22.9,0.28,64.7,103.5,0.249,0.444,0.537,51.4,61,8.4,9.3,0.507,15.8,27.3,0.187,2022-2023
Virginia,0.818,4.43,63,110.8,0.478,0.374,0.565,51.3,66.8,9.8,15.3,0.523,13.5,27,0.339,63,92.9,0.237,0.39,0.49,48.7,47.2,7.6,11.2,0.459,17.2,26.9,0.173,2022-2023
Virginia Commonwealth,0.692,-1.16,70.1,97.9,0.526,0.373,0.544,49,53.8,13.5,14,0.494,19.9,26.8,0.372,70.1,90.1,0.312,0.329,0.502,51,50.9,11.2,9,0.466,22,30.4,0.221,2022-2023
VMI,0.357,-1.78,69.9,107.5,0.221,0.45,0.56,52.8,47.6,8.4,4.6,0.534,16.6,30.7,0.17,69.9,106.9,0.257,0.511,0.556,47.2,61.7,9.3,13.2,0.536,15.3,25.7,0.176,2022-2023
Virginia Tech,0.846,0.45,66.1,113,0.234,0.383,0.57,51.9,50.8,7.5,9.4,0.549,12.6,28.7,0.171,66.1,94.3,0.198,0.345,0.48,48.1,44.3,7.6,8.6,0.46,15.5,28,0.131,2022-2023
Wagner,0.667,-8.2,65.4,100.6,0.252,0.393,0.488,52.9,53.9,11.1,5.8,0.468,13.9,33.5,0.156,65.4,96.1,0.505,0.366,0.533,47.1,51.6,7.8,13.3,0.481,18.6,22.8,0.361,2022-2023
Wake Forest,0.692,2.27,70.3,105.4,0.328,0.412,0.572,51.6,47.8,9.4,7.7,0.537,17.4,26.2,0.248,70.3,98.7,0.282,0.441,0.53,48.4,47,10.8,9.6,0.503,17.3,24.7,0.195,2022-2023
Washington,0.692,3.44,69.2,100.9,0.338,0.341,0.542,48.6,43.8,10.4,16.8,0.5,17.2,25.2,0.258,69.2,94.6,0.267,0.395,0.496,51.4,56.9,8.8,8.5,0.468,17.3,30.8,0.182,2022-2023
Washington State,0.385,5.36,65.1,104.4,0.296,0.416,0.541,54.5,46.8,7.7,6.9,0.51,18,33.7,0.214,65.1,99.1,0.306,0.31,0.531,45.5,49.1,9.8,7.8,0.509,15.6,23.5,0.198,2022-2023
