School,WLper,SOS,Pace,ORtg,FTr,3PAr,Tsper,TRBper,ASTper,STLper,BLKper,eFGper,TOVper,ORBper,FTperFGA,oPace,oORtg,oFTr,o3PAr,oTSper,oTRBper,oASTper,oSTLper,oBLKper,oeFGper,oTOVper,oORBper,oFTperFGA,Year
Tulsa,0.563,3.86,69.9,101.9,0.434,0.376,0.55,48.7,55.4,7.8,7,0.512,16.2,22.5,0.301,69.9,100.8,0.304,0.44,0.513,51.3,55.7,9.5,9.3,0.482,15.1,28.8,0.21,2018-19
UAB,0.571,-1.52,66.6,105.2,0.315,0.346,0.536,52.7,44.3,9.3,7.5,0.511,14.8,30.4,0.212,66.6,100.9,0.314,0.445,0.526,47.3,54.7,7.6,8.4,0.49,15.7,25.4,0.23,2018-19
UC Davis,0.355,-1.5,67,96.5,0.308,0.37,0.531,46.5,51,9.3,7,0.5,17.7,21.5,0.218,67,100.8,0.38,0.377,0.551,53.5,52.3,9.4,9.4,0.52,19,27.7,0.261,2018-19
UC Irvine NCAA,0.838,-2.3,66.2,107.8,0.296,0.325,0.543,54.8,48.5,8.5,10.9,0.516,15.2,34,0.208,66.2,94.8,0.33,0.338,0.48,45.2,43.9,7.8,7.1,0.439,14.6,26.7,0.233,2018-19
UC Riverside,0.303,-3.19,64.3,101.1,0.237,0.416,0.541,50.5,53.7,7.7,5.4,0.521,17.6,26.9,0.162,64.3,107,0.333,0.364,0.56,49.5,54.2,8.5,6.7,0.532,14.7,24.9,0.232,2018-19
UC Santa Barbara,0.688,-5.55,66,110.4,0.381,0.327,0.547,54.8,52.2,7.5,9.2,0.51,14.2,34.8,0.273,66,99.3,0.313,0.36,0.513,45.2,46.8,6.6,7.8,0.482,14.7,25.5,0.215,2018-19
UCLA,0.515,6.78,73.7,105,0.382,0.358,0.543,52.8,51.4,7.9,10.7,0.52,16.4,30.8,0.242,73.7,104.4,0.276,0.414,0.524,47.2,60.5,9.4,8.6,0.496,13.1,27.1,0.194,2018-19
UNC Asheville,0.129,-2.35,64.2,92.9,0.269,0.422,0.506,46.5,50.5,9.8,9,0.471,19.9,29.1,0.199,64.2,115.8,0.348,0.437,0.583,53.5,66.2,10.6,11.1,0.556,15.6,35.3,0.248,2018-19
UNC Greensboro,0.806,-0.9,69.9,108.5,0.305,0.375,0.548,50.7,45.4,12.5,11.5,0.521,14.5,31.4,0.212,69.9,96.8,0.317,0.387,0.536,49.3,47.2,8.2,7.7,0.505,20.6,29,0.224,2018-19
UNC Wilmington,0.303,-2.04,70.2,107.3,0.339,0.375,0.545,52.4,56.3,6.4,6,0.509,15.9,32.2,0.248,70.2,113.9,0.32,0.43,0.584,47.6,48.5,8.8,6.1,0.556,13,26,0.234,2018-19
UT Arlington,0.515,0.84,69,98.5,0.345,0.405,0.514,51.6,53.9,9.1,8.3,0.471,17.4,31,0.256,69,99.3,0.374,0.384,0.518,48.4,52.1,8.8,11.4,0.48,16.1,27.7,0.26,2018-19
Utah,0.548,5.1,67.9,110.9,0.355,0.465,0.578,52.3,54.7,6.8,7,0.55,16.8,30.7,0.251,67.9,109.4,0.325,0.364,0.555,47.7,47.8,8.7,13.2,0.523,12.9,26.9,0.234,2018-19
Utah State NCAA,0.8,0.89,70,111.5,0.367,0.379,0.575,56.2,62.4,8.7,12.2,0.538,15.8,31.9,0.274,70,95.2,0.34,0.398,0.504,43.8,51,8.7,9.5,0.464,15.6,22.2,0.243,2018-19
Utah Valley,0.714,-2.3,70.4,109.5,0.396,0.384,0.588,53.1,52,8.2,6.7,0.555,17.5,28.3,0.287,70.4,100.4,0.29,0.362,0.521,46.9,52,10.4,8.1,0.489,14.7,25.1,0.208,2018-19
UTEP,0.276,-1.71,70,90.9,0.363,0.389,0.498,50.4,48,6.6,7.9,0.464,20,27.3,0.24,70,97.8,0.329,0.367,0.513,49.6,48.1,9.6,10.4,0.485,16.7,27.3,0.216,2018-19
UTSA,0.531,0.05,74,103.5,0.259,0.413,0.534,49.2,46.9,8.9,6.9,0.504,14.8,25.8,0.191,74,100.5,0.336,0.399,0.527,50.8,48.6,7.8,8.5,0.492,16,26.8,0.238,2018-19
Valparaiso,0.455,-1,66.4,99.5,0.334,0.328,0.534,50.8,53.7,9.1,8.6,0.502,17.5,27,0.233,66.4,98.6,0.31,0.354,0.523,49.2,50.6,10.2,7.9,0.491,16.7,25.8,0.218,2018-19
Vanderbilt,0.281,7.79,68.9,98.5,0.406,0.422,0.522,50.1,50.4,7,10.4,0.486,17.9,28.9,0.273,68.9,104.6,0.333,0.356,0.531,49.9,47.2,9.4,11.3,0.495,14.2,29.2,0.238,2018-19
Vermont NCAA,0.794,-4.18,66.5,110.2,0.359,0.403,0.568,53.2,46.2,8.3,11.9,0.53,14.6,27.3,0.269,66.5,94.2,0.274,0.378,0.517,46.8,46,8.2,8.3,0.484,17.5,21.3,0.2,2018-19
Villanova NCAA,0.722,7.97,65,112.2,0.344,0.535,0.565,51.3,56.9,8.2,8.7,0.532,14.2,30.1,0.251,65,102.5,0.282,0.397,0.531,48.7,56.1,7.9,8.8,0.504,15.4,27.4,0.197,2018-19
Virginia NCAA,0.921,10.15,60.8,116.3,0.291,0.395,0.58,53.9,55.9,9,13,0.552,12.8,29.7,0.216,60.8,91.3,0.263,0.425,0.475,46.1,43.4,8.1,8.3,0.447,15.4,24.7,0.175,2018-19
Virginia Commonwealth NCAA,0.758,2.87,69,102.1,0.357,0.412,0.535,50.8,54.9,11.5,12.2,0.501,17.3,31,0.251,69,89.1,0.366,0.332,0.478,49.2,50.7,9.2,7.9,0.435,20,30.6,0.252,2018-19
VMI,0.344,0.09,73.5,102.6,0.294,0.455,0.541,47.2,52.4,9.1,5.1,0.509,14.8,23,0.215,73.5,110.3,0.311,0.394,0.574,52.8,52.1,8.1,11.2,0.548,15.2,27,0.221,2018-19
Virginia Tech NCAA,0.743,7.79,64.4,113.3,0.319,0.437,0.588,51.9,59.5,10.4,8.4,0.556,15.2,29.2,0.243,64.4,95.6,0.263,0.499,0.52,48.1,56.5,7.7,10,0.49,19,27,0.19,2018-19
Wagner,0.433,-7.63,66.4,98.7,0.339,0.456,0.501,52,53.6,9.2,12,0.456,17.4,33.9,0.252,66.4,102.1,0.464,0.414,0.546,48,54.3,8.8,9.4,0.502,17.5,27.6,0.329,2018-19
Wake Forest,0.355,8.47,68.8,98.6,0.376,0.353,0.496,52.2,46.1,7,7.2,0.448,16.3,33.7,0.273,68.8,109.1,0.352,0.403,0.562,47.8,56.6,10.2,11.7,0.533,14.2,27.1,0.245,2018-19
Washington NCAA,0.75,7.01,67.4,103.2,0.347,0.399,0.551,47.6,47.5,13.3,16.3,0.521,17.4,28.8,0.241,67.4,95.8,0.34,0.353,0.513,52.4,58.6,8.9,7.6,0.475,20.5,34.5,0.241,2018-19
Washington State,0.344,2.2,71.6,104.4,0.303,0.445,0.562,48.2,57.4,7.4,7.8,0.528,17.1,25.2,0.229,71.6,109.8,0.284,0.417,0.564,51.8,53.2,10.2,7.9,0.547,15,29.5,0.186,2018-19
Weber State,0.545,-6.12,73.4,107.2,0.366,0.354,0.576,48.9,41.6,7.3,10,0.54,14.4,19.7,0.273,73.4,100.5,0.307,0.327,0.512,51.1,45.1,7.8,7.4,0.48,13.9,25.8,0.215,2018-19
West Virginia,0.417,10.57,71.7,101.5,0.389,0.391,0.514,53.1,54.2,8.5,9.4,0.475,17.7,36.6,0.268,71.7,106.5,0.38,0.362,0.56,46.9,50.3,11.4,10,0.524,16.3,28.5,0.273,2018-19
Western Carolina,0.219,0.34,71.3,99.8,0.36,0.459,0.564,52.4,49.1,5.8,4.6,0.539,22,28.7,0.243,71.3,111,0.404,0.382,0.571,47.6,46.5,12.2,14.1,0.544,13.1,25.1,0.273,2018-19
Western Illinois,0.323,-5.18,69.5,101.6,0.237,0.337,0.531,48.9,39,7.6,11.4,0.505,14.6,22.7,0.173,69.5,105,0.269,0.383,0.538,51.1,46.5,8.4,7.2,0.516,13.6,25.1,0.182,2018-19
Western Kentucky,0.588,0.96,69,102.1,0.379,0.318,0.539,51.6,48.9,9.9,14.4,0.499,17.1,29,0.274,69,98.9,0.256,0.408,0.515,48.4,52,8.4,9.5,0.489,16.1,27.5,0.175,2018-19
Western Michigan,0.25,1.48,70.2,98.5,0.373,0.397,0.524,51.5,48.3,6.4,6.5,0.487,18.6,30,0.258,70.2,107,0.296,0.386,0.544,48.5,50.6,11.1,9.8,0.518,13.6,27.4,0.206,2018-19
Wichita State,0.595,5.91,69.3,101.4,0.288,0.391,0.504,52.1,53.7,6.8,10.3,0.469,14.7,32.1,0.209,69.3,98.8,0.388,0.373,0.515,47.9,49.8,7.4,10.6,0.476,15.4,26.6,0.269,2018-19
William & Mary,0.452,-2.08,69.2,106.1,0.325,0.415,0.567,49.9,62.9,7.2,12.4,0.546,16,24.2,0.217,69.2,109,0.3,0.366,0.561,50.1,48.5,9.6,8.2,0.526,13.7,25.5,0.229,2018-19
Winthrop,0.6,-3.74,75.1,110,0.301,0.531,0.582,53.4,53.8,5.9,7.2,0.554,17.5,29.8,0.222,75.1,103.8,0.294,0.407,0.532,46.6,47.7,9.7,10.8,0.501,13.6,24.6,0.21,2018-19
Wisconsin NCAA,0.676,11.01,64.8,103.9,0.273,0.346,0.531,49.8,49.2,7.9,11,0.511,13,24.3,0.177,64.8,93.5,0.258,0.35,0.479,50.2,45.5,7.8,10.8,0.452,15,26.3,0.172,2018-19
Wofford NCAA,0.857,0.8,68.5,119.2,0.271,0.436,0.598,54.5,50.6,9.6,9.1,0.58,13.5,32.5,0.19,68.5,95,0.304,0.402,0.521,45.5,48.5,7.9,7.3,0.49,18,23.8,0.214,2018-19
Wright State,0.6,-0.89,67.4,108.1,0.341,0.403,0.543,52.3,54.7,9,6.1,0.506,14.6,31.3,0.251,67.4,99.8,0.28,0.381,0.548,47.7,44.5,8,10.3,0.523,18.3,25,0.195,2018-19
Wyoming,0.25,0.19,70.2,93.3,0.399,0.435,0.534,44.7,48,7.8,7.9,0.492,18.6,15.6,0.288,70.2,106.9,0.345,0.407,0.551,55.3,56.8,9.7,9.4,0.514,15.1,28,0.254,2018-19
Xavier,0.543,8.06,66.5,107,0.326,0.374,0.553,53.4,56.3,8.1,10.6,0.528,16.5,32.2,0.221,66.5,104.7,0.249,0.422,0.531,46.6,55.7,10.2,8.9,0.507,13.7,27.2,0.174,2018-19
Yale NCAA,0.733,-1.24,72.9,109.7,0.307,0.35,0.584,52.9,56.3,8,11.2,0.556,15.9,25.8,0.227,72.9,99.5,0.305,0.38,0.509,47.1,48.9,9.4,7.9,0.471,13.5,24.1,0.223,2018-19
Youngstown State,0.375,-2.05,70.6,104.8,0.246,0.433,0.526,51.5,51.1,9.1,9.9,0.501,15.6,33.7,0.172,70.6,109.6,0.37,0.386,0.566,48.5,51.3,8.2,9.2,0.53,14.9,28.6,0.272,2018-19
Abilene Christian,0.5,-6.82,71.5,102.3,0.309,0.35,0.549,49.7,55.4,11.3,11.6,0.521,17.7,28,0.217,71.5,98.8,0.422,0.374,0.54,50.3,48.1,8.9,7.5,0.499,19.5,28.5,0.298,2017-18
Air Force,0.387,1.72,67.7,100.8,0.318,0.431,0.527,48.7,60.7,9.5,8.1,0.49,16.3,27.5,0.233,67.7,106.5,0.328,0.431,0.576,51.3,57.2,8.3,10.6,0.549,18.3,27.8,0.234,2017-18
Akron,0.438,-1.92,69,102.7,0.319,0.467,0.547,49.2,52.7,8.5,7.5,0.518,17.3,27.5,0.222,69,107.9,0.383,0.401,0.567,50.8,51.1,9,11.7,0.532,16.2,28,0.277,2017-18
Alabama NCAA,0.556,10.64,70.2,103,0.419,0.355,0.55,50.3,50.3,9,14.7,0.519,17.8,29.4,0.281,70.2,100.6,0.365,0.379,0.514,49.7,48.7,9.4,10.5,0.478,16,30.8,0.25,2017-18
Alabama A&M,0.097,-8.04,68.2,88.2,0.314,0.354,0.48,48.2,50.5,5.8,3.9,0.45,20.9,29.9,0.203,68.2,111.5,0.298,0.323,0.562,51.8,52.2,11.2,13.8,0.54,14.4,32.4,0.204,2017-18
Alabama State,0.258,-8.62,70.5,97,0.352,0.347,0.496,47.9,41.7,7.7,11.2,0.465,16.9,31.9,0.227,70.5,111,0.466,0.352,0.556,52.1,51.4,9.4,9.9,0.519,15.5,34.7,0.319,2017-18
Albany (NY),0.688,-5.4,67.3,110.3,0.37,0.273,0.55,55.2,48.3,7,7.9,0.507,14.7,34.9,0.279,67.3,101.3,0.278,0.362,0.533,44.8,53.7,8.2,10.1,0.506,15.2,24.3,0.195,2017-18
Alcorn State,0.344,-8.6,70.4,99.2,0.328,0.382,0.532,48.4,53,8.8,7.7,0.499,17.9,27.2,0.232,70.4,105.5,0.384,0.41,0.541,51.6,57.6,8.9,8.8,0.505,16,31.2,0.27,2017-18
American,0.2,-6.16,67.3,96.7,0.304,0.439,0.531,45.1,52.6,10.7,9.1,0.506,18.3,23.7,0.202,67.3,109.3,0.408,0.325,0.582,54.9,53.1,10.3,11.9,0.549,17.8,31,0.291,2017-18
Appalachian State,0.455,-2.67,72,104.6,0.378,0.433,0.539,52.3,47.6,8.2,8.9,0.509,16.3,30.8,0.252,72,101.6,0.361,0.328,0.535,47.7,47.5,9.1,9.3,0.497,15.8,25.2,0.26,2017-18
Arizona NCAA,0.771,6.84,68.6,115.6,0.37,0.321,0.598,55.6,52.6,7.1,12,0.563,15.3,33.3,0.281,68.6,103,0.312,0.356,0.534,44.4,49.8,8.8,6.8,0.499,14.7,25.1,0.229,2017-18
Arizona State NCAA,0.625,6.55,72.2,113.6,0.413,0.413,0.576,49,51.6,9,9.9,0.538,13,27.9,0.303,72.2,102.8,0.327,0.399,0.54,51,57,7.4,9.8,0.507,17.6,30.6,0.235,2017-18
Arkansas NCAA,0.657,9.85,71.3,111.8,0.374,0.321,0.565,48.9,49.9,8.6,13.8,0.538,13.2,28.7,0.255,71.3,105,0.408,0.416,0.547,51.1,54.7,6.6,8.7,0.504,16.8,31.5,0.297,2017-18
Arkansas State,0.344,-3.02,70.4,104.3,0.329,0.364,0.536,48.6,40.9,9.5,7.9,0.502,15.9,30.6,0.236,70.4,111,0.346,0.347,0.585,51.4,51.7,8,9.3,0.558,16.8,30.8,0.246,2017-18
Arkansas-Pine Bluff,0.4,-9.36,68.4,95.7,0.366,0.354,0.528,43.6,52.4,11.4,11.7,0.496,18.6,24,0.247,68.4,103.7,0.447,0.36,0.537,56.4,58.8,11.4,5.7,0.492,18.6,37.4,0.318,2017-18
Army,0.433,-7.17,71.7,103.3,0.243,0.418,0.542,49.6,61.1,7.9,8.2,0.524,16.4,27.1,0.16,71.7,103,0.374,0.409,0.552,50.4,53.6,9.3,10.1,0.516,17.5,26.7,0.268,2017-18
Auburn NCAA,0.765,7.29,73.4,111.5,0.398,0.432,0.557,51.7,53.1,10.1,15.2,0.508,14.1,32,0.308,73.4,99.6,0.381,0.396,0.537,48.3,52.4,8.3,9.3,0.497,18.2,27.9,0.275,2017-18
Austin Peay,0.559,-2.5,70.1,104.7,0.366,0.294,0.532,52.2,49.5,9.4,8.9,0.505,16.8,35.7,0.239,70.1,101.9,0.396,0.363,0.565,47.8,48.3,8.3,9.2,0.53,20.2,28.8,0.283,2017-18
Ball State,0.594,-2,71.1,104.7,0.339,0.384,0.548,51.1,52.9,7.4,8.9,0.516,16.1,27.9,0.239,71.1,102.6,0.293,0.362,0.524,48.9,49.8,9.6,9.7,0.491,14.6,27.3,0.213,2017-18
Baylor,0.559,9.17,68.5,109.1,0.319,0.303,0.556,54.2,54.8,7.9,12.2,0.523,16.7,35.6,0.234,68.5,100.6,0.302,0.384,0.514,45.8,59.7,8.4,10.2,0.479,14.8,29.2,0.216,2017-18
Belmont,0.727,-2.88,68.5,113.3,0.279,0.542,0.61,51.5,58.7,7.1,6.5,0.588,16.3,25.2,0.206,68.5,101,0.268,0.35,0.521,48.5,45.5,8.9,10.6,0.489,14.8,25.7,0.198,2017-18
Bethune-Cookman,0.563,-12.46,77.7,104.6,0.402,0.372,0.54,52.1,55.5,8.1,8.9,0.502,17.3,33.5,0.282,77.7,101.5,0.375,0.337,0.519,47.9,55.3,8.5,8.9,0.48,15.3,30,0.263,2017-18
Binghamton,0.355,-6.34,67.9,101.6,0.297,0.378,0.53,49.6,47.8,8,11.6,0.51,15.8,26,0.19,67.9,103.2,0.311,0.352,0.543,50.4,55.1,8.4,7.5,0.513,15.6,26.2,0.221,2017-18
Boise State,0.719,3.05,70.7,108.9,0.313,0.425,0.572,55.9,48.6,8,5.9,0.542,16.5,29.4,0.231,70.7,96.2,0.296,0.366,0.521,44.1,51.3,8.4,9,0.487,15.2,18.2,0.215,2017-18
Boston College,0.543,7.2,70.1,107.7,0.307,0.395,0.554,51.6,51.9,7.1,8.8,0.521,15.5,29.6,0.228,70.1,105.2,0.271,0.405,0.548,48.4,51.5,7.9,8.5,0.518,15.5,26.7,0.202,2017-18
Boston University,0.484,-5.83,68.7,102.6,0.323,0.355,0.548,50.1,52.5,10.8,9.8,0.529,17.6,29,0.206,68.7,104.5,0.302,0.404,0.552,49.9,51.8,9.3,8.3,0.522,17.5,29,0.22,2017-18
Bowling Green State,0.5,-2.88,71.9,103.6,0.372,0.352,0.526,51.2,51.4,8.1,6.6,0.483,15,30,0.272,71.9,106.2,0.315,0.364,0.556,48.8,51.2,8.5,9,0.525,15.3,26.1,0.227,2017-18
Bradley,0.606,0.35,66.3,101.7,0.372,0.343,0.528,51.8,58.2,9.8,12.9,0.49,17.3,31.9,0.263,66.3,97.7,0.355,0.417,0.517,48.2,60.1,9.6,7.4,0.474,17.8,28.5,0.261,2017-18
Brigham Young,0.686,1.53,67.9,108.2,0.376,0.341,0.579,51,58,9.3,11,0.541,15.2,22.4,0.282,67.9,98.7,0.284,0.382,0.534,49,51.7,8.8,8,0.513,16.7,22.5,0.187,2017-18
Brown,0.407,-4.67,72.7,104,0.409,0.361,0.534,50.7,48.6,8.7,8.1,0.483,15.7,30.3,0.309,72.7,106.7,0.405,0.358,0.574,49.3,49.4,9.1,12.1,0.541,17.3,26.7,0.286,2017-18
Bryant,0.097,-5.42,71,98.2,0.278,0.401,0.509,44.7,54.1,8.6,3.9,0.479,15.9,26.1,0.196,71,116.9,0.33,0.407,0.598,55.3,54.3,9.1,11.7,0.576,15.4,34,0.231,2017-18
Bucknell NCAA,0.714,-3.46,72.4,110.3,0.425,0.392,0.576,50.8,52.3,7.5,10.4,0.539,15.1,27,0.306,72.4,99.5,0.345,0.317,0.514,49.2,49.2,9,9.3,0.478,15,27.4,0.24,2017-18
Buffalo NCAA,0.75,0.25,73.9,113.4,0.298,0.406,0.572,51.4,54,8.4,10.1,0.549,14.3,31.8,0.208,73.9,102,0.395,0.334,0.53,48.6,44.3,7.7,9.7,0.484,16.1,28.9,0.29,2017-18
Butler NCAA,0.6,10.55,69.6,111.1,0.261,0.374,0.57,51.3,47.9,9.3,8.2,0.54,13.9,27.4,0.202,69.6,102.1,0.353,0.376,0.557,48.7,50.2,7.2,8.9,0.519,17.5,24.1,0.262,2017-18
Cal Poly,0.29,-1.83,66.6,98.4,0.263,0.411,0.509,47.5,51.6,7.3,10.2,0.47,15.2,25.8,0.205,66.6,108.8,0.331,0.332,0.556,52.5,54.9,8.6,10.4,0.52,14.3,29.2,0.247,2017-18
Cal State Bakersfield,0.4,-0.73,67.4,97.9,0.346,0.367,0.509,51.4,55.5,9,9.6,0.473,17.6,32.3,0.241,67.4,102.2,0.416,0.434,0.541,48.6,57.7,8.9,7.8,0.502,17.5,28.6,0.292,2017-18
Cal State Fullerton NCAA,0.625,-1.03,69.9,102.7,0.433,0.291,0.559,51.1,50.1,8.9,8.6,0.516,18,27.1,0.316,69.9,99.5,0.348,0.341,0.518,48.9,51.6,8,9.3,0.472,16,27.5,0.263,2017-18
Cal State Northridge,0.2,-3.53,66.5,98.2,0.28,0.304,0.518,46,50.1,7.4,6.3,0.488,16,24,0.198,66.5,109.3,0.329,0.315,0.553,54,53.4,8.7,9.4,0.52,14.3,31.8,0.238,2017-18
California,0.25,6.05,70.6,95.6,0.38,0.275,0.486,50.5,40.8,9.7,14,0.446,17.4,34.7,0.256,70.6,109.6,0.381,0.391,0.582,49.5,60.3,8.5,9.3,0.55,17.2,30.7,0.275,2017-18
Campbell,0.529,-6.68,68.6,109.8,0.347,0.432,0.593,48.5,54.1,9.7,11.1,0.561,15.6,21.5,0.26,68.6,102.6,0.327,0.359,0.54,51.5,49.4,8.9,8.7,0.506,16,26.5,0.235,2017-18
Canisius,0.636,-4.8,69.9,108.9,0.299,0.45,0.568,49.5,61.4,10,8.1,0.542,16.2,29.9,0.213,69.9,101.4,0.376,0.353,0.545,50.5,47.2,7.5,7.9,0.505,18.9,30.4,0.276,2017-18
Central Arkansas,0.514,-5.97,74.3,106.5,0.361,0.372,0.557,47.5,57.8,8.8,12.1,0.519,15.9,27.2,0.265,74.3,104.5,0.382,0.321,0.536,52.5,51.3,9.5,7.9,0.504,16.5,32.8,0.258,2017-18
Central Connecticut State,0.438,-7.59,66.3,100.3,0.326,0.345,0.54,52.3,50.4,7.4,9.7,0.51,19.1,31.1,0.228,66.3,106.3,0.301,0.408,0.541,47.7,52.1,10.1,6.8,0.513,14.5,28.3,0.211,2017-18
Central Florida,0.594,3.76,64.9,96.2,0.431,0.331,0.512,50.5,49.1,8.1,9.4,0.478,18,28.5,0.277,64.9,94.7,0.262,0.34,0.491,49.5,55.8,9.7,11.2,0.457,16.4,28.6,0.189,2017-18
Central Michigan,0.583,-3.24,69.1,112,0.325,0.474,0.561,50.7,51.6,9,9.4,0.517,14.2,31.4,0.262,69.1,105.1,0.261,0.42,0.545,49.3,50.7,8,11.3,0.518,16,29.6,0.189,2017-18
Charleston Southern,0.484,-6.16,67.5,105,0.324,0.352,0.539,51.2,45.9,10.5,11.8,0.505,16.5,31.6,0.234,67.5,100.3,0.34,0.451,0.559,48.8,57.4,8.7,8.4,0.521,20.2,27.3,0.256,2017-18
Charlotte,0.207,0.27,72.2,98.2,0.39,0.345,0.533,48.7,45.2,7.8,5.7,0.493,18.1,26.3,0.279,72.2,110.2,0.321,0.355,0.57,51.3,48.9,10.6,9.6,0.543,15.4,28.6,0.228,2017-18
Chattanooga,0.303,-4.05,67.4,101.1,0.347,0.43,0.545,49.2,53.7,7.3,5.6,0.511,18,27.2,0.247,67.4,107,0.279,0.345,0.569,50.8,49,10.4,11.2,0.54,16.8,27,0.209,2017-18
Chicago State,0.094,1.17,74,91.7,0.33,0.289,0.494,45.5,47.4,9.8,7,0.452,18,26.7,0.239,74,116.4,0.418,0.389,0.603,54.5,61.4,8.8,10.7,0.575,16.6,33.5,0.295,2017-18
Cincinnati NCAA,0.861,3.53,66.1,112.3,0.36,0.353,0.543,55.6,60.4,10.8,15.8,0.512,14.1,38.5,0.249,66.1,87,0.268,0.378,0.465,44.4,48.8,7.5,7.8,0.433,18.8,27.9,0.183,2017-18
Clemson NCAA,0.714,9.25,67.5,108.5,0.335,0.399,0.566,51.7,51.5,8.3,13.3,0.529,15.3,27.1,0.253,67.5,96.9,0.272,0.374,0.503,48.3,48.5,8.4,10.6,0.472,15.2,26,0.19,2017-18
Cleveland State,0.343,-3.64,69.2,98.5,0.291,0.439,0.537,44.3,53.5,9.5,7.3,0.509,17,22.2,0.205,69.2,107.1,0.308,0.396,0.555,55.7,56.4,7.5,10.4,0.527,17.2,33,0.22,2017-18
Coastal Carolina,0.438,-2.42,69,103.3,0.387,0.364,0.535,54.2,53.1,7.7,11.5,0.494,18.2,34.5,0.279,69,100.8,0.374,0.445,0.523,45.8,56.9,10.1,6,0.48,15.2,26.9,0.271,2017-18
Colgate,0.576,-5.72,67.5,107.5,0.291,0.451,0.554,49,51.4,9,10,0.518,14.4,26.2,0.225,67.5,104,0.283,0.4,0.556,51,52.6,7.6,9.7,0.526,17.1,26.7,0.209,2017-18
College of Charleston NCAA,0.765,-3.29,65.9,111.1,0.367,0.378,0.567,49.6,44.2,7.8,9.8,0.527,13.2,25.7,0.277,65.9,102.1,0.316,0.364,0.531,50.4,49.8,6.1,9.3,0.495,15.5,27.6,0.233,2017-18
Colorado,0.531,7,69.5,102.5,0.333,0.365,0.542,52.4,50.5,6.2,10.5,0.506,17.5,29.4,0.243,69.5,103.9,0.34,0.389,0.527,47.6,45.8,10.4,11,0.493,13.3,26.3,0.239,2017-18
Colorado State,0.344,3.79,71.4,100,0.335,0.352,0.514,50.7,50.4,8.2,9.5,0.476,15.9,30.7,0.241,71.4,109.7,0.353,0.439,0.566,49.3,57.2,8.6,6.5,0.537,15.3,28,0.249,2017-18
Columbia,0.296,-3.02,71,106.6,0.241,0.435,0.549,49,51.5,9.2,10.4,0.522,15.2,27.6,0.179,71,107.8,0.314,0.445,0.564,51,56,8.4,7.6,0.533,16.1,28.6,0.23,2017-18
Connecticut,0.438,6.05,67.1,100,0.324,0.36,0.516,48.2,43.8,8.7,11.2,0.475,16,29.4,0.241,67.1,107.2,0.339,0.426,0.543,51.8,54.7,7.5,8.3,0.511,15.7,32.8,0.239,2017-18
Coppin State,0.156,-7.24,69.1,86.3,0.272,0.476,0.472,44.8,51.4,7.6,7,0.433,18.3,22.3,0.201,69.1,105.7,0.376,0.386,0.533,55.2,55.4,8,10.7,0.492,15.3,31.9,0.273,2017-18
Cornell,0.429,-3.24,70.7,104.5,0.356,0.396,0.563,48,60.3,7.1,8.7,0.529,16.6,24.2,0.26,70.7,110.7,0.289,0.371,0.554,52,50.3,9.2,10.4,0.525,13.6,30.2,0.21,2017-18
Creighton NCAA,0.636,8.1,72.8,113.8,0.259,0.45,0.599,51,58.3,7.7,6.7,0.575,13.9,22.5,0.194,72.8,100.9,0.245,0.375,0.523,49,50.7,8.3,8.8,0.496,14.2,24,0.176,2017-18
Dartmouth,0.259,-4,67.8,100.2,0.327,0.383,0.548,48.5,55.1,8.3,9.3,0.517,17.9,23.7,0.233,67.8,107.2,0.249,0.407,0.568,51.5,52.2,9.1,8.7,0.537,16.3,26.7,0.195,2017-18
Davidson NCAA,0.636,2.57,65.3,115.7,0.246,0.484,0.602,50.8,61.3,7.1,6.1,0.574,13.1,22.6,0.196,65.3,102.8,0.296,0.417,0.538,49.2,52,7.3,8.6,0.512,14.5,23.3,0.203,2017-18
Dayton,0.452,2.71,67,106.4,0.318,0.44,0.583,49.7,60.7,7.7,7.3,0.555,18.1,25.5,0.232,67,108,0.292,0.39,0.57,50.3,55.5,8.8,7.9,0.544,16.3,27.6,0.209,2017-18
Delaware,0.424,-2.96,67,105,0.349,0.311,0.533,50.2,44.9,7.4,6.4,0.508,13.9,27.2,0.228,67,109,0.301,0.388,0.556,49.8,52.1,7.9,7.6,0.527,13.4,26.2,0.218,2017-18
Delaware State,0.125,-9.3,66.9,93.6,0.29,0.332,0.502,48.2,46.9,8.7,8.2,0.471,19.4,30.4,0.201,66.9,113.1,0.355,0.446,0.577,51.8,56.5,11,8.9,0.55,16.1,33.6,0.249,2017-18
Denver,0.5,-2.53,68.7,104.5,0.318,0.31,0.56,54.4,56.3,6.2,7.4,0.535,18.7,31.4,0.221,68.7,104.4,0.36,0.434,0.544,45.6,44.2,9.5,7.4,0.507,14.3,23.9,0.26,2017-18
DePaul,0.355,8.45,71.2,100.6,0.294,0.327,0.512,51.7,56.8,9,9.2,0.479,16.5,32.9,0.208,71.2,103.3,0.323,0.431,0.555,48.3,58.8,9.9,7.2,0.52,17.8,28.1,0.24,2017-18
Detroit Mercy,0.25,-2.07,75.4,103.9,0.306,0.401,0.541,47.5,49.5,8.8,7.1,0.504,15.8,27.8,0.231,75.4,113.3,0.374,0.378,0.586,52.5,54.7,8.7,11.5,0.557,15.6,31.4,0.265,2017-18
